COD_ETU;Note : TLMI4604;RÃ©sultat : TLMI4604;Session : TLMI4604;AnnÃ©e : TLMI4604;Filière;Année;Module;Semestre
17006442;13;V  ;1;2020;MIP;2020;TLMI3204;S3
17006503;10;V  ;1;2020;MIP;2020;TLMI3204;S3
17006514;11;V  ;1;2020;MIP;2020;TLMI3204;S3
17006632;;;;;MIP;2020;TLMI3204;S3
17006758;0;NRA;1;2020;MIP;2020;TLMI3204;S3
17010720;8;NV ;2;2020;MIP;2020;TLMI3204;S3
18002014;10;V  ;2;2020;MIP;2020;TLMI3204;S3
18003211;8;AC ;2;2020;MIP;2020;TLMI3204;S3
18003719;11.2;V  ;1;2019;MIP;2020;TLMI3204;S3
18003890;;;;;MIP;2020;TLMI3204;S3
18003909;0;NRA;1;2020;MIP;2020;TLMI3204;S3
18003921;10;V  ;1;2020;MIP;2020;TLMI3204;S3
18003956;11;V  ;1;2020;MIP;2020;TLMI3204;S3
18004287;0;NRA;1;2020;MIP;2020;TLMI3204;S3
18004291;9;AC ;2;2020;MIP;2020;TLMI3204;S3
18004337;;;;;MIP;2020;TLMI3204;S3
18004367;3;NV ;2;2020;MIP;2020;TLMI3204;S3
18004424;;;;;MIP;2020;TLMI3204;S3
18004480;;;;;MIP;2020;TLMI3204;S3
18004557;;;;;MIP;2020;TLMI3204;S3
18004807;10.8;V  ;1;2019;MIP;2020;TLMI3204;S3
18004840;0;NRA;1;2020;MIP;2020;TLMI3204;S3
18004860;15;V  ;1;2020;MIP;2020;TLMI3204;S3
18004912;12;V  ;1;2020;MIP;2020;TLMI3204;S3
18004917;8;NV ;2;2020;MIP;2020;TLMI3204;S3
18004952;;;;;MIP;2020;TLMI3204;S3
18005004;0;NRA;1;2020;MIP;2020;TLMI3204;S3
